Average for Week Ending,Index (Jan 1999 = 100),Unnamed: 2
2010-07-09,110.91,
2010-07-02,110.99,
2010-06-25,111.6,
2010-06-18,111.66,
2010-06-11,111.16,
2010-06-04,111.12,
2010-05-28,110.94,
2010-05-21,111.11,
2010-05-14,111.49,
2010-05-07,111.1,
2010-04-30,111.43,
2010-04-23,110.89,
2010-04-16,110.09,
2010-04-09,109.39,
2010-04-02,109.42,
2010-03-26,109.3,
2010-03-19,109.42,
2010-03-12,109.4,
2010-03-05,109.38,
2010-02-26,109.3,
2010-02-19,109.27,
2010-02-12,108.73,
2010-02-05,108.72,
2010-01-29,109.04,
2010-01-22,109.15,
2010-01-15,109.28,
2010-01-08,109.29,
2010-01-01,109.24,
2009-12-25,109.16,
2009-12-18,109.29,
2009-12-11,109.22,
2009-12-04,109.24,
2009-11-27,109.29,
2009-11-20,109.18,
2009-11-13,109.23,
2009-11-06,109.2,
2009-10-30,109.23,
2009-10-23,109.07,
2009-10-16,109.1,
2009-10-09,108.91,
2009-10-02,108.49,
2009-09-25,108.6,
2009-09-18,108.59,
2009-09-11,108.54,
2009-09-04,108.16,
2009-08-28,108.23,
2009-08-21,108.01,
2009-08-14,108.14,
2009-08-07,108.29,
2009-07-31,108.39,
2009-07-24,108.46,
2009-07-17,107.86,
2009-07-10,107.88,
2009-07-03,108.31,
2009-06-26,108.14,
2009-06-19,108.18,
2009-06-12,108.22,
2009-06-05,108.46,
2009-05-29,108.54,
2009-05-22,108.29,
2009-05-15,108.55,
2009-05-08,108.64,
2009-05-01,108.26,
2009-04-24,107.99,
2009-04-17,107.7,
2009-04-10,107.43,
2009-04-03,107.42,
2009-03-27,107.41,
2009-03-20,107.43,
2009-03-13,107.71,
2009-03-06,107.43,
2009-02-27,107.83,
2009-02-20,107.54,
2009-02-13,107.78,
2009-02-06,107.5,
2009-01-30,107.29,
2009-01-23,107.61,
2009-01-16,107.61,
2009-01-09,107.9,
2009-01-02,109.53,
2008-12-26,109.36,
2008-12-19,108.36,
2008-12-12,107.71,
2008-12-05,107.43,
2008-11-28,108.04,
2008-11-21,107.43,
2008-11-14,108.1,
2008-11-07,108.97,
2008-10-31,108.54,
2008-10-24,107.51,
2008-10-17,107.82,
2008-10-10,107.99,
2008-10-03,108.93,
2008-09-26,109.01,
2008-09-19,108.81,
2008-09-12,109.03,
2008-09-05,108.65,
2008-08-29,108.79,
2008-08-22,108.83,
2008-08-15,108.74,
2008-08-08,109.53,
2008-08-01,110.04,
2008-07-25,110.43,
2008-07-18,110.59,
2008-07-11,110.39,
2008-07-04,110.48,
2008-06-27,110.35,
2008-06-20,110.27,
2008-06-13,110.02,
2008-06-06,110.15,
2008-05-30,110.05,
2008-05-23,109.96,
2008-05-16,109.58,
2008-05-09,109.77,
2008-05-02,109.72,
2008-04-25,109.8,
2008-04-18,109.55,
2008-04-11,108.37,
2008-04-04,107.75,
2008-03-28,107.57,
2008-03-21,107.44,
2008-03-14,107.6,
2008-03-07,107.42,
2008-02-29,107.41,
2008-02-22,107.3,
2008-02-15,107.25,
2008-02-08,107.17,
2008-02-01,107.09,
2008-01-25,106.43,
2008-01-18,106.62,
2008-01-11,106.85,
2008-01-04,106.87,
2007-12-28,106.58,
2007-12-21,106.17,
2007-12-14,106.59,
2007-12-07,106.34,
2007-11-30,106.52,
2007-11-23,106.37,
2007-11-16,106.17,
2007-11-09,106.33,
2007-11-02,106.29,
2007-10-26,106.03,
2007-10-19,106.05,
2007-10-12,105.93,
2007-10-05,105.22,
2007-09-28,104.35,
2007-09-21,104.0,
2007-09-14,103.85,
2007-09-07,103.68,
2007-08-31,103.89,
2007-08-24,103.9,
2007-08-17,103.66,
2007-08-10,103.92,
2007-08-03,103.8,
2007-07-27,103.9,
