End of Period / SORA Value Date,Unnamed: 1,Unnamed: 2,Interbank Overnight,Interbank 1-Week,Interbank 1-Month,Interbank 2-Month,Interbank 3-Month,Interbank 6-Month,Interbank 12-Month,3-Month Commercial Bills,3-Month US$ SIBOR,Singapore Overnight Rate Average,SGS Repo Overnight Rate,SF Deposit Rate,SF Borrowing Rate,RMB Overnight Rate
,,29.0,0.5,2.13,2.13,2.25,2.25,2.31,2.38,2.26,3.5,-,1.59,-,-,-
,,30.0,0.75,2.13,2.19,2.25,2.25,2.31,2.38,2.26,3.49,-,1.79,-,-,-
,,31.0,1,2.13,2.13,2.19,2.25,2.31,2.38,2.26,3.48,-,1.88,-,-,-
,Sep,1.0,0.25,2.13,2.13,2.19,2.25,2.31,2.38,-,-,-,-,-,-,-
,,3.0,0.75,2.13,2.13,2.19,2.25,2.31,2.38,2.24,3.47,-,1.8,-,-,-
,,4.0,1,2,2.06,2.5,2.19,2.25,2.38,2.23,3.47,-,1.81,-,-,-
,,5.0,1.88,2.13,2.13,2.25,2.25,2.31,2.38,2.24,3.52,-,1.86,-,-,-
,,6.0,1,2.19,2.19,2.25,2.25,2.31,2.38,2.25,3.52,-,1.92,-,-,-
,,7.0,1.75,2.19,2.19,2.25,2.25,2.31,2.38,2.25,3.48,-,2.1,-,-,-
,,8.0,1.5,2.19,2.19,2.25,2.25,2.31,2.38,-,-,-,-,-,-,-
,,10.0,0.75,2.06,2.13,2.19,2.25,2.31,2.38,2.25,3.37,-,1.89,-,-,-
,,11.0,1,2,2.13,2.19,2.25,2.31,2.38,2.25,3.36,-,1.81,-,-,-
,,12.0,0.13,2,2.13,2.19,2.25,2.31,2.38,2.24,3.11,-,1.49,-,-,-
,,13.0,0.13,2,2.06,2.13,2.19,2.25,2.38,2.21,3.15,-,1.29,-,-,-
,,14.0,0.75,1.75,2,2.06,2.13,2.19,2.31,2.18,3.16,-,1.15,-,-,-
,,15.0,1,1.75,2,2.06,2.13,2.25,2.31,-,-,-,-,-,-,-
,,17.0,0.25,1.88,2,2.06,2.13,2.25,2.31,2.14,3.14,-,1.02,-,-,-
,,18.0,0.5,1.75,1.88,2,2.06,2.13,2.25,2.1,2.99,-,0.94,-,-,-
,,19.0,0.5,1.63,1.81,2,2.06,2.13,2.25,2.08,2.88,-,0.92,-,-,-
,,20.0,0.75,1.75,1.94,1.94,2,2.13,2.25,2.04,2.56,-,1.14,-,-,-
,,21.0,0.25,1.75,1.75,1.81,1.88,2.06,2.19,1.99,2.62,-,1.48,-,-,-
,,22.0,0.13,1.63,1.75,1.94,1.88,2.06,2.19,-,-,-,-,-,-,-
,,24.0,0.13,1.63,1.81,1.88,1.94,2.06,2.19,1.95,2.61,-,0.93,-,-,-
,,25.0,0.25,1.94,1.94,2,2.06,2.13,2.19,2,2.6,-,1.09,-,-,-
,,26.0,0.88,2,1.94,1.94,2,2,2.19,2,2.6,-,1.13,-,-,-
,,27.0,0.5,1.63,1.69,1.75,1.88,2,2.19,1.92,2.6,-,1.03,-,-,-
,,28.0,1,1.5,1.63,1.81,1.88,2,2.13,1.91,2.6,-,1.12,-,-,-
,,29.0,1,1.5,1.63,1.75,1.81,1.94,2.13,-,-,-,-,-,-,-
,Oct,1.0,0.25,1.5,1.56,1.69,1.81,1.88,2.06,1.89,2.6,-,1.03,-,-,-
,,2.0,0.38,1.38,1.56,1.63,1.75,1.88,2.13,1.82,2.6,-,0.87,-,-,-
,,3.0,0.13,1.38,1.5,1.63,1.75,1.88,2.06,1.81,2.52,-,0.82,-,-,-
,,4.0,0.63,1.13,1.31,1.5,1.56,1.75,2,1.75,2.5,-,0.78,-,-,-
,,5.0,0.5,0.94,1.19,1.31,1.44,1.63,1.88,1.66,2.5,-,0.86,-,-,-
,,6.0,0.5,0.94,1.19,1.31,1.44,1.63,1.88,-,-,-,-,-,-,-
,,8.0,0.63,1,1.13,1.25,1.38,1.63,1.88,1.52,2.44,-,0.83,-,-,-
,,9.0,0.63,1,1.13,1.19,1.31,1.56,1.81,1.55,2.43,-,0.87,-,-,-
,,10.0,0.5,0.94,1.06,1.19,1.31,1.5,1.75,1.47,2.44,-,0.82,-,-,-
,,11.0,0.75,1.19,1.25,1.25,1.38,1.56,1.75,1.44,2.43,-,0.99,-,-,-
,,12.0,1,1.13,1.13,1.19,1.31,1.5,1.75,1.43,2.45,-,1.15,-,-,-
,,13.0,1,1.13,1.13,1.19,1.31,1.5,1.75,-,-,-,-,-,-,-
,,15.0,0.5,1,1.06,1.13,1.19,1.44,1.75,1.36,2.44,-,0.9,-,-,-
,,16.0,0.5,1,1.06,1.13,1.19,1.44,1.75,1.33,2.43,-,0.87,-,-,-
,,17.0,0.13,0.88,1,1.13,1.19,1.38,1.63,1.31,2.42,-,0.8,-,-,-
,,18.0,0.75,0.88,1,1.06,1.13,1.38,1.63,1.29,2.4,-,0.74,-,-,-
,,19.0,0.63,0.88,1.06,1.13,1.19,1.38,1.63,1.29,2.37,-,0.79,-,-,-
,,20.0,0.75,0.88,1.06,1.13,1.19,1.38,1.63,-,-,-,-,-,-,-
,,22.0,0.75,0.94,1.06,1.19,1.25,1.38,1.63,1.29,2.35,-,0.83,-,-,-
,,23.0,0.38,1.13,1.13,1.25,1.31,1.38,1.63,1.33,2.35,-,0.94,-,-,-
,,24.0,0.13,1,1.13,1.13,1.19,1.31,1.56,1.31,2.35,-,0.86,-,-,-
,,25.0,0.13,1,1.13,1.19,1.25,1.31,1.56,1.27,2.31,-,0.68,-,-,-
,,26.0,0.25,0.75,0.88,1,1.06,1.13,1.31,1.15,2.28,-,0.4,-,-,-
,,27.0,0.13,0.63,0.88,0.94,1,1.19,1.31,-,-,-,-,-,-,-
,,29.0,0.13,0.63,0.81,0.94,1,1.13,1.25,1.11,2.26,-,0.34,-,-,-
,,30.0,0.13,0.5,0.69,0.75,0.88,1,1.19,1.01,2.24,-,0.29,-,-,-
,,31.0,0.5,0.56,0.69,0.75,0.88,0.94,1.13,0.96,2.2,-,0.36,-,-,-
,Nov,1.0,0.5,0.75,0.81,0.88,0.94,0.94,1.19,0.97,2.19,-,0.59,-,-,-
,,2.0,0.25,0.75,0.75,0.81,0.88,0.94,1.19,1,2.19,-,0.8,-,-,-
,,5.0,0.5,0.56,0.63,0.75,0.81,0.88,1.06,0.87,2.17,-,0.5,-,-,-
